,dgp,error_distribution,running_variable,setup,p1,n,true_treatment_effect,median_bias_iv_ccf,median_bias_iv_ik,median_bias_lambda_1_ccf,median_bias_lambda_1_ik,median_bias_lambda_4_ccf,median_bias_lambda_4_ik,mad_iv_ccf,mad_iv_ik,mad_lambda_1_ccf,mad_lambda_1_ik,mad_lambda_4_ccf,mad_lambda_4_ik,rmse_iv_ccf,rmse_iv_ik,rmse_lambda_1_ccf,rmse_lambda_1_ik,rmse_lambda_4_ccf,rmse_lambda_4_ik,cov_iv_ccf,cov_iv_ik,cov_lambda_1_ccf,cov_lambda_1_ik,cov_lambda_4_ccf,cov_lambda_4_ik,cov_ar_ba_1,cov_ar_ba_2
12,1,2,1,1,0.6,600,0.04,0.147928971057448,0.212634768961802,0.064190928695744,0.103068431512598,0.0112026005105727,0.0316792003893112,0.660255695080961,0.624080147671859,0.264225356965885,0.279902574900627,0.134923417433583,0.140582888700749,23.8461751103167,33.9394393157464,0.487697907517007,0.504048213316342,0.245816208246814,0.255078783722166,0.9863,0.9891,0.9884,0.9903,0.944,0.948,0.9821,0.9755
13,1,2,1,1,0.7,600,0.04,0.111744784599478,0.133248143362008,0.100593065449761,0.123207145497681,0.0495191684285368,0.0733715600414303,0.357519698621858,0.316178699743284,0.256540310222991,0.246177430888845,0.1616513909113,0.16914630144617,11.2630905104029,6.89234234553249,0.444979090925989,0.428397077473747,0.27826974747426,0.28374962139556,0.9725,0.9706,0.9861,0.9802,0.9627,0.9611,0.9809,0.9748
14,1,2,1,1,0.8,600,0.04,0.0728740154552021,0.0865200570174626,0.0768015044801583,0.0857760866690404,0.0572862008550623,0.0705860104710928,0.232693728850804,0.201636558554597,0.202508415146192,0.182171494806663,0.16394154792819,0.156140443202336,0.924586518199201,1.04245689129581,0.357751642023145,0.317639540556861,0.284036717483753,0.265400916041677,0.9546,0.9564,0.98,0.9687,0.9727,0.9638,0.9835,0.9776
15,1,2,1,1,0.9,600,0.04,0.0462173760314064,0.056385430083893,0.0521198964929818,0.063160405033628,0.0473189309931079,0.0587784370580447,0.170108351052859,0.145572138526401,0.15497397291038,0.139150256470386,0.145524329890441,0.132492915683842,0.410043056054566,0.260392036100095,0.271245468954909,0.23292426761723,0.249993965226232,0.21982277956587,0.9441,0.9445,0.9638,0.9585,0.9628,0.9585,0.9832,0.9784
16,1,2,1,2,0.6,600,0.04,0.148466722782164,0.220731264862154,0.0678330123506363,0.119786061701768,0.0137012286389863,0.0415027421210817,0.648333923502074,0.611708101565408,0.269398683466459,0.294397702223277,0.13634267492245,0.149569486429743,63.1133871440065,46.4400435084844,0.537389993587183,0.559659637528032,0.278411453565071,0.304734329469259,0.9871,0.9872,0.9891,0.9886,0.9507,0.9508,0.9812,0.9782
17,1,2,1,2,0.7,600,0.04,0.125666080750142,0.151869664608034,0.109612657892091,0.133813112583691,0.059415361127874,0.0850311511231566,0.358683834946451,0.31303625261735,0.257306243885207,0.25486288699166,0.169802705096676,0.181277501570994,16.149735843384,4.82049031941707,0.466331253278062,0.439859395588119,0.300354735158144,0.298002798517015,0.9725,0.9728,0.9878,0.9829,0.9657,0.9639,0.9836,0.9778
18,1,2,1,2,0.8,600,0.04,0.0780270812339042,0.0900705458076683,0.0844126562283407,0.0933045841687764,0.0625817912460525,0.0788858761314739,0.230244524631333,0.204332287929725,0.205531534358161,0.182377742438379,0.170961756865538,0.160372559177478,5.13493324503998,0.40071477095496,0.351804568789891,0.310340266083274,0.280483331672424,0.262109199399246,0.9573,0.9554,0.976,0.9629,0.9695,0.9588,0.9814,0.9761
19,1,2,1,2,0.9,600,0.04,0.0441444133272914,0.0562611098822215,0.053155122971228,0.0563105496988396,0.0477860700222656,0.0529508315395712,0.170539793324529,0.147127761973129,0.157684409966844,0.139429618594364,0.148129600075529,0.133229064724871,0.319289651619849,0.264227468152333,0.275857215223082,0.237663199866547,0.257277500097673,0.226338872026737,0.9424,0.9466,0.9636,0.9565,0.9622,0.9563,0.9817,0.977
20,1,2,1,3,0.6,600,0.04,0.144575285423559,0.200509634144848,0.0574639833216272,0.108113954373668,0.0070685977080672,0.0312268995318173,0.647271435035779,0.624100330119295,0.259001784524928,0.278415250012354,0.131703877598161,0.13847093194255,719.087045924641,25.308983664439,0.491953768301726,0.538708334944567,0.246516353766384,0.284828086691515,0.9872,0.9874,0.9873,0.9892,0.9496,0.9503,0.9813,0.9772
21,1,2,1,3,0.7,600,0.04,0.123440540692534,0.145414632801685,0.106305716097746,0.12973270844712,0.0558555452135911,0.0808630458602687,0.362804190004463,0.323590300229596,0.261184635955494,0.252580848877357,0.166164223450285,0.173209203941806,9.45729774255371,6.10313288364475,0.445745796694532,0.425932469791326,0.279335141353616,0.282157845392392,0.973,0.9729,0.989,0.9854,0.9678,0.9641,0.9851,0.9763
